文章发表时间,文章标题(article_title),文章类型,模型,文章摘要(article_abstract),文章关键词(article_keyword)
2018-08-05,基于广义随机Petri网的突发事件网络舆情演化模型,舆情演化分析,马尔科夫链 广义随机Petn网,"【目的/意义】准确掌握突发事件网络舆情的演化规律,提高政府应对能力,避免事态恶化是刻不容缓的课题。【方法/过程】本文首先从生命周期和社会燃烧视角,将突发事件网络舆情演化的各个阶段分别按照""燃烧物质、助燃剂、点火物质""集合形式进行结构化描述,探究演化过程中各阶段的关键属性以及属性之间的紧密联系。在此基础上根据广义随机Petri网理论,构建突发事件网络舆情演化的GSPN模型。最后以""山东非法疫苗事件""为例从事件代表性、谣言煽动性、情绪交融性三个方面评测演化系统的性能。【结果/结论】验证模型有效性,揭示其中的变动规律及均衡状态,为相关部门引导舆情良性发展,防范舆情失控提供决策参考。","[""网络舆情"",""社会燃烧理论"",""马尔科夫链"",""广义随机Petri网""]"
2018-08-05,基于循环神经网络的网络舆情趋势预测研究,舆情预测,循环神经网络,"【目的/意义】网络舆情预测由于对指导政府工作,维护社会稳定具有很高的现实意义,一直是网络安全领域研究工作的关注重点。但是网络舆情演化趋势复杂,影响因素众多,前人工作多考虑了单变量因素,忽视了多因素对趋势的影响,且前人采用的传统模型由于自身的局限性,针对非线性场景的预测很难收到较好效果。【方法/过程】为解决前人研究的不足,本文设计了一种基于循环神经网络的自适应学习率的网络舆情模型,根据舆情数据特点选取了多种特征构建了循环神经网络序列生成模型,针对循环神经网络模型收敛困难的问题,通过连续最优掷币策略自适应调节学习率来提高训练速度和预测精度。【结果/结论】实验结果表明,与传统方式和普通神经网络相比,本文方法有着更好的舆情预测效果。","[""网络舆情"",""循环神经网络"",""时间序列"",""舆情预测""]"
2018-08-05,新媒体环境下网络舆情用户情感演化模型研究――基于情感极性及情感强度理论,舆情演化分析,情感极性理论,"【目的/意义】对新媒体环境下网络舆情用户情感进行研究,能够剖析用户情感演化规律,从而有助于采取针对性措施对舆情信息传播进行合理控制。【方法/过程】本文基于情感极性及情感强度理论构建新媒体环境下网络舆情用户情感演化模型,以微博平台为例进行情感极性和情感强度分析用户情感演化特征及波动规律。【结果/结论】""江歌案""微博热点话题主要呈现负向情感,其比例远高于正向情感和中性情感;情感值与极性值都随着极性值的增加而增加,话题在12月11日负向情感值与极性值达到最低。","[""新媒体"",""网络舆情"",""情感极性"",""情感强度"",""情感演化""]"
2018-08-05,信息公开视阈下我国网络信息舆情管理策略模型研究,舆情应对方法,I-SCR舆情管理模型,"【目的/意义】提出""I-SCR""网络舆情管理模型,希望从政府、媒体、公众三者之间的互动关系来提出网络舆情管理完善对策。【方法/过程】将维克利""S-C-R""信息交流模式引入网络舆情信息传播情境,并针对该模型中舆情信息从政府发出(I-S)、从渠道发出(I-C)、从公众发出(I-R)三方面分别探讨网络舆情管理策略。【结果/结论】信息公开视域下的网络舆情管理策略要求我们必须构建政府、媒体、公众三者间的良性信息互动关系,使信息在三者间的传递达到动态平衡。","[""网络舆情"",""信息公开"",""信息交互"",""策略模型""]"
2018-07-30,SNA视域下体育突发事件网络舆情的形成及结构分析,舆情成因分析 舆情特征分析,SNA,"识别体育突发事件网络舆情传播的结构及特征,解析网络舆情发展的重要节点,有助于从舆情源头疏导、管理负面舆情,增强体育管理部门应对突发事件网络舆情的效率与效果。本文以""6・23国乒罢赛门""为案例,结合生命周期理论阐述了该事件网络舆情的形成;在社会网络分析视域下,分析该事件网络舆情的网络拓扑结构,揭示体育突发事件网络舆情的传播特征,为体育突发事件的舆情管理提供理论依据。研究发现:(1)体育突发事件网络舆情历经""形成-爆发-扩散-衰退""四个阶段;(2)网络舆情传播结构的整体密度不高,节点间存在普遍的交流关系,但紧密度一般;(3)节点间距离短,信息传播速度快;(4)存在凝聚子群,促生出多中心、多主体的传播网络结构;(5)有结构洞存在但约束力相对较小,信息多为直接传播,个体位置和角色相对独立。","[""体育突发事件"",""网络舆情"",""舆情传播特征"",""SNA""]"
2018-07-25,计算机文本信息挖掘技术在网络安全中的应用,网络安全与文本挖掘,文本挖掘,"21世纪是信息大爆炸时代,信息技术已在社会的多个方面得到广泛应用。信息技术改变了人们的信息传导方式,但安全隐患也随之产生。笔者概述了计算机文本挖掘技术的方法,并结合工作经验,分析计算机文本信息挖掘技术在网络安全中的应用,以期对今后的工作开展有所帮助。","[""计算机文本挖掘技术"",""网络安全"",""网络环境""]"
2018-07-15,面向政务微博的社会治理建模与实证研究,显性舆情与隐性舆情,探索性数据分析,"[目的/意义]作为""互联网+政务服务""的产物,政务微博功能综合、用户众多、信息海量、诉求多元的特点为社会治理提供了新的视角。[方法/过程]通过从数据库中随机抽取的2 000条政务微博作为研究对象,运用SPSS19.0分析政务微博在社会治理中的作用机理;使用案例分析法,选取@中央气象台、@问政银川、@北京微博群,来实证研究基于内容的可视化、基于时间线条的效率值、基于突发事件的微博群效应在社会治理的独特运作模式。[结果/结论]结果表明,政务微博在预测网络舆情、创新社会治理方面具有显著的正向作用,优质的政务微博运营理念有助于促成信息在交互场景下实现多方谋划(共建)、广泛参与(共治)、共同享有(共享)的社会化机制,以期能为政府更好地运用新媒体""听民意、惠民生、解民忧""提供一定的借鉴。","[""互联网+政务服务"",""政务微博"",""社会治理"",""突发事假"",""网络舆情"",""实证研究"",""运营""]"
2018-07-15,基于意见领袖的网络舆情引导机制研究,舆情引导机制,信度分析,"互联网技术的应用为人们提供了更加广阔的沟通和交流平台,同时也给社会舆论的引导造成一定的压力。基于意见领袖的概念及内涵对网络舆论领袖的构建及特征,实证分析意见领袖的各个特征变量对网络舆论的影响。研究结果显示,意见领袖下的网络舆论引导策略能够更好地对网络舆情进行管控,防止网络舆情危机的产生。","[""意见领袖"",""网络舆情"",""引导策略"",""信度分析""]"
2018-07-15,档案学视角下网络舆情治理模式嬗变与重构符号化分析,舆情特征分析 舆情演化分析,大数据分析,"大数据背景下的社会舆情正在发生巨大变化,社会舆情管理变得日益复杂和重要,如何准确把握社会舆情的内在特征及其演进过程中的潜在规律,实现社会舆情大数据档案在管理模式和收集技术上的创新,对于新形势下做好社会舆情引导工作,加强和改进意识形态内容建设,牢牢掌握意识形态工作领导权具有重要的理论意义和实践价值。","[""大数据"",""网络舆情"",""治理模式""]"
2018-07-10,苏州利用大数据提升政府网络舆情治理水平的对策研究,舆情应对方法,大数据分析,"信息化时代网络舆情的难以管理是各地政府都面临的难题。苏州走在现代化城市发展的前沿,大数据的运用为苏州各行业的发展增光添彩。文章顺应大数据时代的新要求,将大数据运用到网络舆情的管理,结合政府部门创新变革管理机制,是实现网络舆情管理水平提升的重要举措。","[""大数据"",""网络舆情"",""舆情管理"",""政府引导""]"
2018-07-06 13:59,基于熵权法的网络舆情预警模糊综合评价模型研究,舆情预警,模糊综合评价 熵权法,"【目的/意义】为了丰富网络舆情的预警评价研究,建设全面、有效的网络舆情预警机制,以便于相关政府部门更好地对网络舆情进行监控与管理。【方法/过程】从网络舆情的生命周期与演变过程入手,首先构建网络舆情的生命周期模型与演变过程模型,然后设计网络舆情预警模糊综合评价指标体系,同时利用熵权法确定网络舆情预警模糊综合评价体系中各级指标的权重,最后构建网络舆情预警模糊综合评价模型,从而确定网络舆情的预警等级。【结果/结论】该网络舆情预警模糊综合评价指标体系中包含4个一级指标和13个二级指标,为网络舆情预警提供了一种新的思路和方法。","[""网络舆情"",""预警"",""熵权法"",""模糊综合评价"",""指标体系""]"
2018-06-30,一种逻辑模型树算法在网络舆情中的谣言检测,舆情谣言预测,逻辑模型树算法,"网络舆情中的谣言对社会危害极大,因此有效地检测网络舆情中的谣言已是当务之急.目前,一些单一机器学习算法被相继应用到谣言检测中.针对这些单一机器学习算法在分类上的局限性,将一种融合逻辑回归与决策树的逻辑模型树方法用于谣言检测上.根据舆情分析报告上采集的数据集,实验结果表明:组合模型逻辑模型树的分类预测准确率比已应用到谣言检测的单一机器学习算法明显要高,逻辑模型树是一种有效的谣言检测方法.","[""网络舆情"",""谣言检测"",""逻辑模型树""]"
2018-06-25 11:39,基于系统动力学的政府网络舆情回应研究,舆情应对方法,动力学模型,"研究对政府网络舆情影响因素进行分析,构建政府网络舆情回应的系统动力学模型,并进行仿真分析。结果表明,政府加强信息公开程度,加快响应速度,提高新闻发言人权威可以有效地增强政府对网络舆情的回应,相应地使网络舆情热度减小。最后根据分析结果提出政府进行网络舆情回应的建议。","[""系统动力学"",""网络舆情"",""政府"",""网络舆情回应"",""仿真""]"
2018-06-25 09:51,警务新媒体应对网络舆情效果提升策略研究,舆情应对方法,SWOT分析法,"警务新媒体是公安机关新时期营造良好警民关系、引导网络舆情走向、宣传国家方针政策和法律法规的有力武器。因此针对警务新媒体应对网络舆情效果提升的策略进行探讨,结合企业竞争情报中的SWOT分析法,从优势、劣势、机会、威胁四个角度入手进行分析,提出可行性提升策略,希望对公安机关高效运营警务新媒体平台,有效开展对网络舆情的监控和引导工作起到一定的科学指导作用。","[""SWOT"",""警务新媒体"",""网络舆情"",""提升策略""]"
2018-06-25,基于结构方程模型的舆情推演研究,舆情传播规律,结构方程模型,"首先,通过对案例的观察,总结了中国负面事件的网络舆情推演基本规律,在此基础上确定了舆情推演因子;其次,根据推演流程,构建各因子相互之间的因果关系并建立模型,运用统计学理论对舆情推演模型进行检验和调整,得到各因子在整个事件发展中的相对重要关系和重要系数;最后,选取10个典型案例进行舆情效果因子预测实验,以期验证预测体系并不断完善。","[""网络舆情"",""舆情推演"",""复杂因子"",""结构方程模型""]"
2018-06-21,基于人工智能的网络舆情系统解析,舆情特征分析,人工智能,"近年来,互联网技术在我国得到长足的发展,网络已成为人们日常生活必不可少的部分。民众从网络中获取信息,也通过网络分享观点和情绪。在这个大环境下,对网络上的言论进行有效的分析,及时判断网民对突发事件的情绪情感,鼓励正面、积极的信息,引导负面、消极的信息,同时发现并制止虚假信息,减少其对群众的欺骗和误导,使互联网环境向更加健康的方向发展等方面具有重大的现实意义。本文主要分析互联网舆情系统中,对信息的分析和对情感的判断这两方面内容。","[""人工智能"",""网络舆情"",""情感分析""]"
2018-06-20,浅析大数据技术下社会舆情的收集研判处置机制,综述,大数据分析,"大数据时代的到来,已成为人类不可阻挡的趋势,也是社会发展客观规律作用的必然结果。大数据背景下社会舆情管理变得日益复杂和重要,如何抓住大数据时代社会舆情管理变革带来的机遇,改变传统社会舆情管理思维,准确把握社会舆情的内在特征及其演进过程中的规律,实现社会舆情管理在模式和技术上的创新,对于新形势下做好社会舆情引导工作,加强和改进意识形态工作,牢牢掌握意识形态工作领导权具有重要的理论意义和实践价值。","[""大数据"",""网络舆情"",""治理模式"",""创新研究""]"
2018-06-19 11:17,基于登革热事件的官方微博网络舆情可视化分析,舆情特征分析 舆情引导对策,文本分析（词频、语义、情感） 数据可视化,"目的了解公共卫生事件中政务微博的传播效果,为政府和媒体引导网络舆情与监控提出建设性意见。方法根据2017年8~9月登革热相关政务或官方微博,利用ROST内容挖掘系统软件(ROST Content Mining System Version 6.0),根据内容分析法和社会网络分析,对政务或官方微博评论内容进行词频、语义网络和情感分析,并绘制可视化图形。结果登革热官方微博评论高频词为""蚊子""""杭州""""登革热"",以此三个词语为中心呈现三组语义网络,显示为单项扩散网络和交互性网络。情感分析显示公众情感波动不稳定,整体积极情绪呈上升趋势,消极情绪递减。结论政府或组织应建立网络舆情平台,加强监控和引导,结合公众的反馈和情绪变化及时采取正确有效的措施,避免负面舆论和谣言的传播。","[""登革热"",""传染病"",""微博"",""网络舆情"",""社会网络分析"",""语义分析"",""可视化""]"
2018-06-15,网络舆情与上证指数涨跌幅的关联性分析――基于LDA主题模型的文本挖掘,舆情与其他变量的关系,LDA主题模型,"基于对网络信息进行LDA主题模型的文本挖掘和实证分析,考察网络舆情的变化与上证指数的涨跌幅之间的关联性。编写网络爬虫抓取""今日头条""网站中的一千三百余万条帖子,通过LDA主题模型的方法将网络新闻和帖子分为100类主题,考察各类主题在每天的网络舆情中所占的比重及其变化情况。分析结果显示,网络舆情中部分主题所占比重的变化情况,与上证综指涨跌幅之间具有关联性。这既反映着网络舆情作为""社会传感器""与金融市场中的社会后果之间的关联,也从网络信息挖掘的角度为有限理性和有限注意力背景下的行为经济学研究提供有益路向。","[""网络舆情"",""LDA主题模型"",""文本挖掘"",""社会传感器""]"
2018-06-15,媒介融合环境下广电应对网络舆情策略探析,舆情应对方法,风险模型,"鉴于网络舆情危机事件的难控性,本文以国家广播电视总局舆情监控为例,研究了网络舆情存在的问题,并建立了应对网络舆情风险模型,提出了基于广电应对网络舆情策略。该策略的实施对科学地认识网络舆情的产生原因、传播渠道以及传播规律都有重要作用,可减少和控制网络舆情危机事件的发生,创建政府和民众的良好关系,提高政府的执政能力,增强政府的公信力,维护社会安定有序。","[""网络舆情"",""风险模型"",""策略探析""]"
2018-06-13,面向大数据的网络舆情异常数据监测与应用研究,舆情预警,异常数据,"[目的/意义]通过对网络舆情数据的动态监测和异常感知,及时预警舆情异常,为政府掌握舆情决策的先动优势提供理论模型和可行思路。[方法/过程]分析大数据环境下激增、波动等网络舆情数据异常现象,明确舆情趋势预测、动态感知异常等异常数据监测机理。基于此,首先运用Gompertz模型进行舆情趋势区间预测,其次定义偏离度进行数据异常评级,并确定预警等级,实现异常数据的及时捕捉和快速预警。[结论/结果]通过实例验证,证明了模型可行性,可以为政府舆情引导程度提供度量依据,也为编制智能化的舆情监测软件提供算法支持。","[""大数据"",""网络舆情"",""异常数据"",""监测"",""预测""]"
2018-06-10,不同议题情境下网民意见表达意愿影响因素的实证研究,网民意见表达意愿影响因素,理性行为理论,"网民意见表达研究是洞察网络舆情的基础,基于理性行为理论,构建了网民意见表达意愿影响因素模型,并讨论了不同议题情景下,网络社区特征和网民经验对网民心理、意见表达意愿的影响机制。研究发现:在正向情境下,发表意见不会给自己带来负面影响,因此社区规范度不会影响网民意见表达意愿,社区归属感主要是通过认知态度和情感态度影响网民意见表达意愿;在负向情景下,发表意见存在一定的风险,因此网民需要根据自己的经历去衡量是否表达意见,社区参与度和社区归属感通过影响主观规范、认知态度、情感态度影响网民意见表达;在中性情景下,是非价值难以确定且判断不一,因此认知态度对网民意见表达影响不大,社区规范度和社区归属感通过情感态度影响网民意见表达意愿。","[""网络社区"",""网络舆情"",""网络民意"",""理性行为理论"",""社区归属感"",""社区规范""]"
2018-06-10,我国“学生减负”问题的网络舆情分析――以新浪微博为例,舆情分析,数据可视化,"近日,江苏省溧阳市教育局印发了《溧阳市教育局关于切实减轻中小学生课业负担的意见,其中明确了如果家庭作业来不及完成,家长签字后可免做未完成的作业,以保证学生充足的睡眠时间。该消息通过新浪微博中人民网的官方微博得到发布,并迅速引起了网民的转发与热议,形成网络教育舆论。本文试图从网络舆情传播模式、网络舆情主体、网络舆情内容三个维度对该舆情进行分析,得出以下结论:该舆情传播模式属于单核心传播模式;网络舆情主体分布存在空间与时间上的差异;舆情的焦点是部分教学管理权力从教师转向家长是否具有合理性。","[""网络舆情"",""学生减负"",""社会网络分析"",""数据可视化""]"
2018-06-05,移动社交网络舆情多主体应对的系统动力学仿真研究,舆情应对方法,系统动力学模型,"【目的/意义】移动社交网络时代,随时随地传递信息与发布动态已然成为人们的一种生活习惯。与此同时,移动社交网络的即时性、超时空性等特点也使得网络舆情进一步升级―移动社交网络舆情由此产生。【方法/过程】通过构建移动社交网络舆情多主体应对的系统动力学模型,并采用Vensim PLE软件对实例进行模拟仿真。【结果/结论】结果表明移动社交网络舆情受舆情事件、媒体、网民、政府四个主体的共同影响,降低事件敏感度、移动社交平台传播次数、网民情绪强度及提升政府的信息透明度能够有效地应对移动社交网络舆情。","[""移动社交网络"",""网络舆情"",""多主体应对"",""系统动力学"",""模型仿真""]"
2018-06-05,基于郎之万方程的网络舆情共振研究,舆情共振,朗之万方程,"【目的/意义】网络舆情共振是一种舆论叠加爆发现象,从现实情况来看,多事件引发的共振对社会的影响远大于单一事件,然而目前有关网络舆情的研究多集中在单一事件方面,有关多事件之间共振的研究相对较少。【方法/过程】本文将区域文化、人群特征、政府介入等因素作为调节变量,借鉴郎之万方程建立网络舆情共振模型,并采集2013年乙肝疫苗及2016年山东疫苗事件的数据,经过模型计算得到共振规律图,与统计相关博文数量后得到的折线图进行对比分析。【结果/结论】结果显示了山东疫苗事件与乙肝疫苗事件产生共振,证明了模型的合理性。","[""网络舆情"",""舆情演化"",""随机共振"",""朗之万方程""]"
2018-06-04,网络舆情生成与演化机制研究,舆情生成规律 舆情演化规律,多主体仿真建模,"近年来,伴随着互联网技术的发展、公民意识的提升和政府应对网络舆情观念的转变,越来越多的网民和媒体参与到舆情事件的讨论中来,复杂多变的网络舆情也随即产生。网络舆情的形成源于多种类型主体的参与,网络舆情的演化受到多方面因素的影响,其生成与演化规律很难把握。本文运用文献资料的整理与分析、问卷调查与数据分析和建模仿真与实证分析的方法来综合研究网络舆情的生成与演化规律,试图揭示各个影响因素在网络舆情演化中的作用机制和重要程度,从而为舆情监管者和工作者充分认识和深度把握各种舆情现象,进而对舆情事件进行监管和引导提供有力支持。首先,本文以网络舆情为研究对象,以网络舆情的生成与演化为核心议题,在借鉴已有研究工作的基础上,从网民、媒体和政府参与主体的角度分析了影响网络舆情演化的相关因素,然后通过因子分析法对各类因素进行相关性分析后降维得出主要影响因素;其次,在对基于多主体建模的仿真方法和舆情交互模型进行阐述的基础上,结合上述主要影响因素,构建了本文的网络舆情演化仿真模型,在模型中描述了各类参与主体的属性和前提假设,建立了网民、媒体和政府三类主体之间的交互规则;接着,使用多主体仿真平台Netlogo对模型进行仿真实验,选取引发全民关注的典型食品安全事件上海“福喜事件”作为模型的初始化数据进行实证分析,通过对模型中意见领袖的数量、媒体可信度、媒体报道强度、政府公信力、政府信息公开程度、政府引导力度和政府处置效率等参数进行调整,分析各个因素对网络舆情演化的影响;最后,根据仿真结果和典型食品安全事件传播的比对,将网络舆情的生成与演化划分为潜伏、爆发、蔓延和消解四个阶段进行其变化趋势和传播规律的分析,并针对各个演化阶段的不同特征有针对性的提出应对策略,为舆情监管者和工作者应对网络舆情提供科学决策。","[""网络舆情"",""生成机制"",""演化机制"",""影响因素"",""多主体仿真建模"",""食品安全事件""]"
2018-06-01,基于大数据的政府网络舆情应对策略,舆情应对方法,大数据分析,"随着互联网的迅猛发展,网络媒体作为一种新的信息传播形式已经渗透到人民生活的方方面面。网友言论活跃已达到前所未有的程度,越来越多的人通过网络来表达观点、传播思想、表达利益诉求。互联网已成为思想文化的集散地和社会舆论的放大器。由于互联网特有的开放性和自由性,广大网民积极利用网络平台发表对社会热点问题的看法,网络舆情就此产生。网络舆情可以及时了解社会动态、公民心声,能更好地联系政府、社会和公民,对社会稳定和国家发展有着极其重要的现实意义。伴随着大数据时代的来临,网络舆情开始呈现出体量巨大、类型复杂、价值密度低、传播速度快等新的特点,传统的网络舆情监管手段已经无法适应这些新的变化。然而,我们更应看到大数据时代的网络舆情最重要的优势在于互联网本身庞大的信息和数据量,以海量数据为基础,运用大数据思维模式,通过数据模型的建立,可以自动整理和分析出关于政治、生活、经济、社会发展的相关结论,有助于政府部门了解公众思想动态,把握时事舆论发展动态,有效协调社会分工、预防社会政治暴动、应对突发事件。但是,大数据对我国政府来说依旧是一个新颖且陌生的名词,利用大数据进行政府舆论管理就必须要转变固有传统的管理思维,改变守旧的工作模式,创新技术方法,这无疑都对政府网络舆情管理提出了巨大的挑战。本文基于上述大背景,对大数据时代的政府网络舆情应对进行全面研究,旨在运用大数据技术和理念进一步提高政府网络舆情治理的广度与深度,促使网络舆情的发展能够保持科学性、合理性,进而实现维护网络信息传播的秩序以及我国社会稳定的目的。本文由五部分组成。第一部分为绪论,介绍了文章的研究背景和意义、相关国内外研究现状并搭建了本文的理论框架。第二部分对网络舆情、大数据、舆情预判的概念进行详述,并以协商民主理论、政府治理理论为基础,为本文的研究奠定了理论前提。第三部分阐述了大数据背景下政府应对网络舆情的机遇、挑战及策略变化,主要描述了大数据背景下政府应对网络舆情面临的问题、挑战、新机遇以及策略转变。第四部分对大数据背景下政府应对网络舆情存在的问题及原因进行详细分析;第五部分给出了基于大数据的政府网络舆情应对策略,提出要优化政府的大数据技术、建立健全基于大数据的政府网络舆情应对制度体系、运用大数据提高政府网络舆情应对的能力水平。","[""网络舆情"",""大数据"",""舆情预判""]"
2018-06-01,吉林省高校网络舆情研究,舆情引导对策,统计调查,"如何更好地把握大学生网络舆情引导工作的主动权,是现阶段高校宣传思想政治工作面临的一项重要课题。尤其是在党的十九大召开以来,“青年兴则国家兴,青年强则国家强。”党和国家对青年学子的要求和殷切期盼,声声入耳、直击肺腑,反响热烈,高校网络舆情作为社会舆情的重要组成部分,正确合理的引导不仅关系到大学生价值观的判断和网络行为方式的选择,更关系到社会的稳定和发展。本论文以吉林省高校网络舆情引导为研究主题,以吉林省部分高校大学生和网络舆情引导工作相关的老师为研究对象,采取定额抽样和随机问卷调查法、以及现场访谈法对吉林省高校网络舆情引导工作的现状展开了调查。并在调查的基础上,结合网络舆情引导的相关理论来分析存在的主要问题,并提出了对策建议,维护吉林省高校校园网络舆情的稳定,为和谐高校建设大局服务。全文共分五章:第一章,绪论。阐述本研究的背景及意义,介绍国内外研究现状,阐明本研究主要内容及采用的研究方法,并指出研究的创新之处。第二章,高校网络舆情相关理论概述。阐述网络舆情及高校网络舆情的概念阐释,介绍高校网络舆情的主要内容,并进一步总结高校网络舆情的特点。第三章,吉林省高校网络舆情的现状调查。以问卷及访谈等调查方式对吉林省八所高校网络舆情的现状进行调查。第四章,吉林省高校网络舆情引导存在的主要问题及原因分析。根据调查结果,对于吉林省高校网络舆情引导存在的问题全面研究及分析形成这些问题的原因,保障吉林省高校网络舆情的后续引导工作顺利开展。第五章,加强吉林省高校网络舆情引导的对策建议。根据高校网络舆情的基本原则,从提高网络舆情引导的重视度、加强网络舆情引导工作队伍的建设、拓宽网络舆情沟通渠道、构建网络舆情引导工作的整体机制四个方面阐述了加强吉林省高校网络舆情引导的具体建设性对策。","[""吉林省高校"",""网络舆情"",""调查问卷""]"
2018-05-18 15:05,基于OTUCM模型的网络社团在线识别,网络用户分析 网络社团演化分析,OLDA模型,"[目的/意义]通过挖掘网络社团及其演化过程,有助于掌握网络用户结构及行为方式,对网络舆情分析具有十分重要的意义,当前的网络社团演化挖掘模型存在着局部最优及抗噪能力差等问题。[方法/过程]通过建立网络社团与主题的对应关系,把社团的识别转化成主题的识别。在OLDA模型的基础上引入用户参数,提出一种主题社团混合模型(OTUCM),该模型把t-1时刻社团后验作为t时刻社团先验,通过建模用户、消息、主题、词汇四者之间的概率依赖关系,生成t时刻消息―主题、主题―词汇、主题―用户三个分布矩阵。通过交叉熵计算t与t-1时刻的主题相似度,得出主题及主题下用户的演化过程。[结果/结论]在实验数据集上验证了OTUCM模型,并与当前流行算法进行对比,实验结果表明OTUCM模型在网络社团演化挖掘方面达到了良好的效果。","[""网络用户"",""网络社团"",""OLDA模型"",""网络舆情"",""主题社团混合模型"",""演化过程""]"
2018-05-18 10:55,基于相关向量机的网络舆情情感趋势预测,舆情预测,相关向量机 时间序列分析,"对网络舆情事件中网民评论的情感发展趋势进行准确预测具有非常重要的意义和价值.本文提出将网民评论的情感值作为预测指标,通过对评论的句式分析,利用短语模式计算单句及复句的情感值,构建情感值时间序列,建立基于相关向量机的网络舆情情感趋势预测模型,对网络舆情事件中网民评论情感趋势进行预测.选择新浪微博中关注度较高的头条新闻中微博评论的舆情事件作为实验对象,运用本文模型与基于BP神经网络、Elman神经网络等预测模型进行对比.实验结果表明,本文模型具有较高的预测精度,平均绝对百分误差(MAPE)和均方根误差(RMSE)均优于基于BP神经网络和Elman神经网络的预测模型,能较好地预测出网络舆情事件中网民评论情感趋势.","[""相关向量机"",""网络舆情"",""情感趋势预测"",""时间序列""]"
2018-05-15,网页文本内容情感挖掘研究,舆情特征分析,文本分析 机器学习,"基于Python语言自动爬取网页,采用机器学习算法挖掘网页文本数据中所蕴含的主观情感,并对其进行分类识别。以""青岛新闻网""网页文本数据为例,探索网络舆情发展规律,为地方政府转变社会治理思维、创新治理模式提供参考。","[""Python"",""中文分词"",""机器学习"",""负面偏差"",""网络舆情""]"
2018-05-15,舆情大数据在新闻生产中的应用,舆情分析,大数据分析,"随着我国互联网的不断发展,互联网媒体的传播力和影响力也不断增强。浙江广电舆情大数据系统利用网络挖掘技术,将对互联网海量信息和行业专业数据进行实时的采集,通过自然语言处理、敏感词过滤、智能聚类分类、主题检测、专题聚焦等大数据分析技术,实现互联网新闻线索汇聚,实时掌握并跟踪热点舆情,反馈广电节目传播情况,促进节目优化,并为决策层全面掌握网络舆情动态提供依据。","[""网络挖掘"",""新闻线索"",""大数据分析"",""网络舆情""]"
2018-05-15,基于智能元搜索代理的企业网络舆情危机预警,舆情预警,预警模型,"互联网时代,企业网络舆情危机成为了近年来重要的舆论场。本文首先介绍了智能元搜索的相关理论及工作原理,在此基础上结合中文分词系统与情感词典的运用提出基于智能元搜索代理技术的企业网络舆情危机预警方法,然后通过两种类别的六家企业进行验证,得出了其中三家企业存在着网络舆情危机,而这与企业的实际状况是相吻合的。最终证明了本文预警方法的有效性。","[""智能元搜索"",""网络舆情"",""危机预警"",""预警模型"",""智能代理""]"
2018-05-10 16:17,基于组合灰色模型的网络舆情预测研究,舆情预测,组合灰色模型,"[目的/意义]精准预测与掌握舆情事件的发展,及时发现网络舆情中的潜在危机,对社会的稳定发展具有重要意义。[方法/过程]网络舆情演化具有随机性、非线性、复杂性、因素之间不确定性等特征,利用粒子群算法(PSO)优化GM(1,1)幂模型参数,结合GM(1,N)模型构建组合灰色模型,用于预测网络舆情热度发展趋势,并通过""莆田系事件""的舆情数据对模型预测性能进行验证。[结果/结论]仿真结果表明,基于粒子群算法的GM(1,1)幂模型能够较好的解决非线性单序列的预测问题。同时,组合灰色模型比多因素灰色模型预测精确度更高,在网络舆情预测上具有一定的优势。","[""网络舆情"",""粒子群算法"",""GM(1,1)幂模型"",""GM(1,N)模型""]"
